date;beds;units;persons;personsN;presonsR;beds0;units0
2021-02-11;12227;1267;144541;1324101;;27187;2658
2021-02-12;12215;1277;149615;1330127;;27138;2650
2021-02-13;12163;1270;147961;1336467;;27145;2649
2021-02-14;11962;1295;137229;1342031;;27196;2642
2021-02-15;12026;1279;128654;1347670;;27141;2653
2021-02-16;12318;1274;139469;1352443;;26595;2646
2021-02-17;12225;1286;141093;1354598;;26446;2636
2021-02-18;12188;1295;153920;1358666;;26336;2627
2021-02-19;12441;1306;163974;1365216;;26421;2637
2021-02-20;12517;1304;166639;1372326;;26390;2637
2021-02-21;12609;1340;156100;1378414;;26271;2600
2021-02-22;12868;1336;147208;1384373;;26245;2607
2021-02-23;13350;1347;161407;1389516;;25885;2585
2021-02-24;13477;1321;161187;1391981;;25925;2575
2021-02-25;13818;1375;176394;1397342;;25966;2576
2021-02-26;14058;1467;188482;1405552;;26024;2581
2021-02-27;14371;1446;191595;1414461;;26111;2582
2021-02-28;14538;1503;179565;1422829;;26227;2587
2021-03-01;14929;1509;171656;1430861;;26254;2589
2021-03-02;15400;1540;192491;1438032;;26241;2568
2021-03-03;15591;1583;194086;1441479;;26490;2586
2021-03-04;15992;1650;216011;1448619;;26387;2607
2021-03-05;16423;1675;234601;1459564;;26448;2616
2021-03-06;16725;1716;243583;1471608;;26749;2627
2021-03-07;16861;1769;227988;1482568;;26895;2641
2021-03-08;17337;1838;219104;1494083;;26900;2642
2021-03-09;18105;1837;245202;1503353;;27122;2687
2021-03-10;18378;1902;250598;1507905;;27354;2702
2021-03-11;18686;1929;276477;1516540;;27487;2736
2021-03-12;19102;1982;299942;1530484;;27597;2765
2021-03-13;19541;2011;310551;1546151;;28075;2830
2021-03-14;19654;2077;292772;1560227;;28347;2850
2021-03-15;20249;2084;280008;1574455;;28473;2882
2021-03-16;21183;2139;314744;1587164;;29304;2959
2021-03-17;21511;2193;327953;1593165;;29955;2979
2021-03-18;21858;2190;356227;1603832;;30698;3021
2021-03-19;22567;2245;383721;1620272;;31636;3071
2021-03-20;23293;2315;396680;1640050;;32713;3154
2021-03-21;23583;2360;370067;1656827;;33083;3211
2021-03-22;24637;2421;351928;1676008;;33178;3228
2021-03-23;26075;2512;392575;1693875;;34758;3297
2021-03-24;26511;2537;396701;1707846;;35444;3366
2021-03-25;27118;2620;434991;1722856;;36231;3473
2021-03-26;27779;2730;461317;1747223;;37084;3554
2021-03-27;28574;2823;480926;1775068;;37961;3653
2021-03-28;29071;2894;446762;1798922;;38443;3716
2021-03-29;29920;2985;423889;1824431;;38930;3773
2021-03-30;31071;3054;454738;1848199;;40256;3889
2021-04-01;31811;3143;468310;1882179;;41272;4013
2021-04-02;31955;3157;478914;1911249;;42377;4157
2021-04-03;32260;3209;467178;1945994;;43001;4176
2021-04-04;31927;3225;435354;1978433;;43789;4199
2021-04-05;32656;3269;412774;2009308;;43930;4213
2021-04-06;33544;3315;394442;2036577;;44066;4245
2021-04-07;34691;3342;414373;2054697;;44440;4251
2021-04-08;34864;3362;433346;2076504;;44878;4293
2021-04-09;34550;3376;439436;2107776;;45130;4326
2021-04-10;34167;3373;430830;2143065;;45436;4386
2021-04-11;33460;3459;394193;2171301;;45664;4445
2021-04-12;33990;3483;362823;2197782;;45675;4454
2021-04-13;34619;3513;367577;2219655;;45726;4450
2021-04-14;33906;3457;357099;2229801;;45843;4506
2021-04-15;33253;3443;352951;2238638;;45869;4503
2021-04-16;32781;3425;348056;2255232;;45858;4557
2021-04-17;32073;3372;334797;2285221;;45918;4552
2021-04-18;31270;3359;292124;2311145;;45852;4547
2021-04-19;31612;3346;265383;2334978;;45909;4557
2021-04-20;31938;3287;262571;2354652;;45949;4536
2021-04-21;30706;3265;253075;2366230;;45825;4540
2021-04-22;29831;3229;252098;2380787;;45814;4546
2021-04-23;28994;3223;250248;2401457;;45544;4525
2021-04-24;28128;3195;241679;2422659;;45396;4532
2021-04-25;27336;3185;216922;2439412;;45098;4521
2021-04-26;27137;3101;195426;2455005;;45022;4507
2021-04-27;26925;3041;193781;2467036;;44218;4502
2021-04-28;25591;2945;187087;2473974;;43774;4467
2021-04-29;24667;2895;202361;2483780;;43498;4439
2021-04-30;23469;2831;197693;2496810;;43058;4405
2021-05-01;22415;2723;185680;2510858;;42377;4360
2021-05-02;21209;2652;166019;2520968;;40851;4265
2021-05-03;20974;2593;141992;2529844;;40678;4248
2021-05-04;20981;2609;139205;2536931;;40585;4255
2021-05-05;20410;2469;139274;2540684;;39763;4227
2021-05-06;19433;2334;142351;2546751;;39168;4218
2021-05-07;18116;2296;142253;2555059;;38530;4148
2021-05-08;17155;2157;136787;2563079;;37326;3982
2021-05-09;16156;2138;124442;2569501;;36966;3892
2021-05-10;15925;2083;114652;2576034;;36660;3863
2021-05-11;15602;1959;117931;2580245;;35557;3767
2021-05-12;14359;1859;112961;2582519;;34799;3700
2021-05-13;13497;1772;115045;2584751;;33845;3634
2021-05-14;12984;1690;115914;2589277;;33221;3574
2021-05-15;12421;1627;115750;2595635;;32424;3495
2021-05-16;11710;1589;107596;2600974;;31269;3341
2021-05-17;11604;1572;100096;2605703;;31140;3333
2021-05-18;11145;1418;101013;2609216;;28493;3105
2021-05-19;10334;1377;98191;2610932;;27953;2992
2021-05-20;9713;1309;97366;2614020;;27373;2908
2021-05-21;9200;1239;96793;2618031;;26711;2852
2021-05-22;8596;1183;94777;2621686;;26333;2803
2021-05-23;7943;1138;86700;2624724;;25940;2766
2021-05-24;7965;1092;79649;2627679;;25932;2748
2021-05-25;7553;990;81603;2629626;;24984;2645
2021-05-26;6295;925;77005;2630581;;24684;2624
2021-05-27;6377;873;79008;2632483;;23857;2523
2021-05-28;5909;805;81171;2634711;;23521;2495
2021-05-29;5445;734;78901;2636675;;22939;2408
2021-05-31;5071;681;69079;2639689;;22684;2382
2021-06-08;2983;412;63352;2646340;;14841;1569
2021-06-09;2742;388;59658;2646647;;14573;1509
2021-06-10;2553;364;57127;2647095;;14488;1502
2021-06-11;2359;350;56809;2647688;;14163;1450
2021-06-12;2135;313;57526;2648207;;13665;1402
2021-06-13;1989;317;55191;2648504;;13652;1402
2021-06-14;1982;303;55463;2648859;;13580;1397
2021-06-15;1962;277;60547;2649080;;12797;1303
2021-06-16;1783;265;60040;2649184;;11926;1228
2021-06-17;1671;253;61041;2649535;;11709;1218
2021-06-18;1634;245;63472;2649879;;11649;1218
2021-06-19;1534;237;64252;2650194;;11476;1195
2021-06-20;1451;238;63662;2650476;;11436;1192
2021-06-21;1460;242;63678;2650648;;11385;1191
2021-06-22;1367;224;66894;2650773;;10860;1136
2021-06-23;1307;208;61845;2650839;;10797;1120
2021-06-24;1219;201;59403;2651045;;10689;1107
2021-06-25;1157;185;57708;2651209;;10603;1095
2021-06-26;1082;171;58801;2651360;;10522;1093
2021-06-27;1050;171;60566;2651522;;10504;1092
2021-06-28;1020;163;64751;2651681;;10504;1092
2021-06-29;985;171;72255;2651759;;10353;1071
2021-06-30;924;153;74745;2651787;;10344;1061
2021-07-01;855;130;78577;2651906;;10277;1049
2021-07-02;690;103;84100;2652004;;7552;722
2021-07-03;616;91;91819;2652072;;7194;719
2021-07-04;571;88;97094;2652165;;7184;719
2021-07-05;566;86;101857;2652228;;7127;707
2021-07-06;546;78;104225;2652265;;7095;706
2021-07-07;504;73;101915;2652293;;7090;706
2021-07-08;476;76;99467;2652372;;7084;706
2021-07-09;463;71;98171;2652409;;7014;696
2021-07-10;450;70;98715;2652458;;6959;686
2021-07-11;426;63;98523;2652505;;6787;673
2021-07-12;411;59;97367;2652577;;6782;670
2021-07-13;400;55;97465;2652604;;6549;642
2021-07-15;388;62;90470;2652655;;6507;647
2021-07-16;362;59;88628;2652743;;6353;621
2021-07-17;348;60;88767;2652951;;6304;619
2021-07-18;342;60;88225;2652984;;6299;618
2021-07-19;342;62;86921;2653034;;6299;618
2021-07-20;349;60;88120;2652994;;6282;618
2021-07-21;339;61;85344;2653025;;6282;618
2021-07-22;329;54;84380;2653088;;6218;616
2021-07-23;324;52;84546;2653172;;6202;616
2021-07-24;325;49;85506;2653221;;6202;616
2021-07-25;304;47;84878;2653279;;6201;617
2021-07-26;305;45;83518;2653359;;6201;617
2021-07-27;309;46;84492;2653407;;6195;610
2021-07-28;308;44;81796;2653446;;6195;610
2021-07-29;302;43;80131;2653529;;6195;610
2021-07-30;295;38;79433;2653608;;6184;601
2021-07-31;278;36;79794;2653700;;6184;601
2021-08-01;277;35;77828;2653807;;6184;601
2021-08-02;271;38;76407;2653900;;6071;595
2021-08-03;295;40;77004;2653934;;6077;595
