date;woj;typ;tests
2020-08-10;pomorskie;T;158463
2020-08-10;pomorskie;N;11745
2020-08-10;warmińsko-mazurskie;T;57729
2020-08-10;warmińsko-mazurskie;N;3451
2020-08-10;wielkopolskie;T;218592
2020-08-10;wielkopolskie;N;12580
2020-08-10;zachodniopomorskie;T;85860
2020-08-10;zachodniopomorskie;N;9222
2020-08-10;łódzkie;T;144335
2020-08-10;łódzkie;N;10681
2020-08-10;śląskie;T;252261
2020-08-10;śląskie;N;26855
2020-08-10;świętokrzyskie;T;54249
2020-08-10;świętokrzyskie;N;2435
2020-08-17;Polska;T;2389253
2020-08-17;Polska;N;151692
2020-08-17;dolnośląskie;T;193495
2020-08-17;dolnośląskie;N;11776
2020-08-17;kujawsko-pomorskie;T;115591
2020-08-17;kujawsko-pomorskie;N;7647
2020-08-17;lubelskie;T;99599
2020-08-17;lubelskie;N;5587
2020-08-17;lubuskie;T;29660
2020-08-17;lubuskie;N;1580
2020-08-17;mazowieckie;T;559436
2020-08-17;mazowieckie;N;27326
2020-08-17;małopolskie;T;213874
2020-08-17;małopolskie;N;15993
2020-08-17;opolskie;T;22610
2020-08-17;opolskie;N;2072
2020-08-17;podkarpackie;T;48786
2020-08-17;podkarpackie;N;3174
2020-08-17;podlaskie;T;61136
2020-08-17;podlaskie;N;2960
2020-08-17;pomorskie;T;172156
2020-08-17;pomorskie;N;13693
2020-08-17;warmińsko-mazurskie;T;61775
2020-08-17;warmińsko-mazurskie;N;4046
2020-08-17;wielkopolskie;T;231272
2020-08-17;wielkopolskie;N;12680
2020-08-17;zachodniopomorskie;T;93402
2020-08-17;zachodniopomorskie;N;7542
2020-08-17;łódzkie;T;155979
2020-08-17;łódzkie;N;11644
2020-08-17;śląskie;T;272752
2020-08-17;śląskie;N;20491
2020-08-17;świętokrzyskie;T;57730
2020-08-17;świętokrzyskie;N;3481
2020-08-24;Polska;T;2555863
2020-08-24;Polska;N;166610
2020-08-24;dolnośląskie;T;206533
2020-08-24;dolnośląskie;N;13038
2020-08-24;kujawsko-pomorskie;T;125265
2020-08-24;kujawsko-pomorskie;N;9674
2020-08-24;lubelskie;T;105669
2020-08-24;lubelskie;N;6070
2020-08-24;lubuskie;T;31289
2020-08-24;lubuskie;N;1629
2020-08-24;mazowieckie;T;591116
2020-08-24;mazowieckie;N;31680
2020-08-24;małopolskie;T;231613
2020-08-24;małopolskie;N;17739
2020-08-24;opolskie;T;24610
2020-08-24;opolskie;N;2000
2020-08-24;podkarpackie;T;51677
2020-08-24;podkarpackie;N;2891
2020-08-24;podlaskie;T;64645
2020-08-24;podlaskie;N;3509
2020-08-24;pomorskie;T;188220
2020-08-24;pomorskie;N;16064
2020-08-24;warmińsko-mazurskie;T;65900
2020-08-24;warmińsko-mazurskie;N;4125
2020-08-24;wielkopolskie;T;243183
2020-08-24;wielkopolskie;N;11911
2020-08-24;zachodniopomorskie;T;101884
2020-08-24;zachodniopomorskie;N;8482
2020-08-24;łódzkie;T;168416
2020-08-24;łódzkie;N;12437
2020-08-24;śląskie;T;294496
2020-08-24;śląskie;N;21744
