dat;powiat;nc
2020-04-10;chojnicki;0
2020-04-10;sztumski;0
2020-04-10;kwidzyński;0
2020-04-10;kościerski;0
2020-04-10;nowodworski;0
2020-04-10;słupski;0
2020-04-10;lęborski;0
2020-04-10;człuchowski;0
2020-04-11;Gdynia;0
2020-04-11;Gdańsk;3
2020-04-11;Słupsk;0
2020-04-11;Sopot;0
2020-04-11;tczewski;0
2020-04-11;gdański;2
2020-04-11;kartuski;0
2020-04-11;bytowski;0
2020-04-11;malborski;0
2020-04-11;pucki;0
2020-04-11;wejherowski;1
2020-04-11;starogardzki;0
2020-04-11;chojnicki;0
2020-04-11;sztumski;0
2020-04-11;kwidzyński;0
2020-04-11;kościerski;0
2020-04-11;nowodworski;0
2020-04-11;słupski;0
2020-04-11;lęborski;0
2020-04-11;człuchowski;0
2020-04-12;Gdynia;1
2020-04-12;Gdańsk;1
2020-04-12;Słupsk;1
2020-04-12;Sopot;0
2020-04-12;tczewski;0
2020-04-12;gdański;1
2020-04-12;kartuski;0
2020-04-12;bytowski;0
2020-04-12;malborski;0
2020-04-12;pucki;3
2020-04-12;wejherowski;0
2020-04-12;starogardzki;0
2020-04-12;chojnicki;0
2020-04-12;sztumski;0
2020-04-12;kwidzyński;0
2020-04-12;kościerski;0
2020-04-12;nowodworski;0
2020-04-12;słupski;1
2020-04-12;lęborski;0
2020-04-12;człuchowski;0
2020-04-13;Gdynia;1
2020-04-13;Gdańsk;1
2020-04-13;Słupsk;0
2020-04-13;Sopot;0
2020-04-13;tczewski;0
2020-04-13;gdański;0
2020-04-13;kartuski;1
2020-04-13;bytowski;0
2020-04-13;malborski;0
2020-04-13;pucki;1
2020-04-13;wejherowski;0
2020-04-13;starogardzki;0
2020-04-13;chojnicki;0
2020-04-13;sztumski;0
2020-04-13;kwidzyński;0
2020-04-13;kościerski;0
2020-04-13;nowodworski;0
2020-04-13;słupski;0
2020-04-13;lęborski;0
2020-04-13;człuchowski;0
2020-04-15;Gdynia;0
2020-04-15;Gdańsk;1
2020-04-15;Słupsk;0
2020-04-15;Sopot;0
2020-04-15;tczewski;0
2020-04-15;gdański;1
2020-04-15;kartuski;0
2020-04-15;bytowski;0
2020-04-15;malborski;0
2020-04-15;pucki;0
2020-04-15;wejherowski;0
2020-04-15;starogardzki;0
2020-04-15;chojnicki;0
2020-04-15;sztumski;0
2020-04-15;kwidzyński;0
2020-04-15;kościerski;0
2020-04-15;nowodworski;0
2020-04-15;słupski;0
2020-04-15;lęborski;0
2020-04-15;człuchowski;0
2020-04-16;Gdynia;0
2020-04-16;Gdańsk;0
2020-04-16;Słupsk;0
2020-04-16;Sopot;0
2020-04-16;tczewski;0
2020-04-16;gdański;0
2020-04-16;kartuski;0
2020-04-16;bytowski;0
2020-04-16;malborski;0
2020-04-16;pucki;0
2020-04-16;wejherowski;0
2020-04-16;starogardzki;1
2020-04-16;chojnicki;1
2020-04-16;sztumski;0
2020-04-16;kwidzyński;0
2020-04-16;kościerski;0
2020-04-16;nowodworski;0
2020-04-16;słupski;0
2020-04-16;lęborski;0
2020-04-16;człuchowski;0
2020-04-17;Gdynia;0
2020-04-17;Gdańsk;0
2020-04-17;Słupsk;0
2020-04-17;Sopot;0
2020-04-17;tczewski;0
2020-04-17;gdański;0
2020-04-17;kartuski;2
2020-04-17;bytowski;0
2020-04-17;malborski;0
2020-04-17;pucki;0
2020-04-17;wejherowski;1
2020-04-17;starogardzki;0
2020-04-17;chojnicki;0
2020-04-17;sztumski;0
2020-04-17;kwidzyński;0
2020-04-17;kościerski;0
2020-04-17;nowodworski;0
2020-04-17;słupski;0
2020-04-17;lęborski;0
2020-04-17;człuchowski;0
2020-04-18;Gdynia;0
2020-04-18;Gdańsk;16
2020-04-18;Słupsk;0
2020-04-18;Sopot;0
2020-04-18;tczewski;0
2020-04-18;gdański;0
2020-04-18;kartuski;1
2020-04-18;bytowski;0
2020-04-18;malborski;0
2020-04-18;pucki;0
2020-04-18;wejherowski;4
2020-04-18;starogardzki;0
2020-04-18;chojnicki;0
